metric,seconds,pct_of_total,n_units
nearest_neighbor,77.009,29.73,232
sliding_rp_violation,47.516,18.35,232
amplitude_cv,46.716,18.04,232
drift,15.244,5.89,232
synchrony,13.274,5.13,232
presence_ratio,10.864,4.19,232
sd_ratio,10.611,4.1,232
firing_range,7.867,3.04,232
noise_cutoff,5.674,2.19,232
amplitude_cutoff,4.46,1.72,232
isi_violation,3.29,1.27,232
amplitude_median,3.209,1.24,232
d_prime,2.864,1.11,232
rp_violation,2.359,0.91,232
__pca_prepare_data__,2.108,0.81,232
num_spikes,1.903,0.73,232
firing_rate,1.686,0.65,232
mahalanobis,0.935,0.36,232
__overhead__,0.842,0.33,232
silhouette,0.53,0.2,232
snr,0.038,0.01,232
