metric,seconds,pct_of_total,n_units
sd_ratio,3347.703,94.38,232
nearest_neighbor,61.143,1.72,232
sliding_rp_violation,44.491,1.25,232
amplitude_cv,36.343,1.02,232
drift,12.591,0.35,232
synchrony,9.699,0.27,232
presence_ratio,6.227,0.18,232
firing_range,5.906,0.17,232
noise_cutoff,5.182,0.15,232
amplitude_cutoff,3.263,0.09,232
d_prime,2.374,0.07,232
amplitude_median,2.23,0.06,232
isi_violation,1.801,0.05,232
__pca_prepare_data__,1.757,0.05,232
num_spikes,1.747,0.05,232
rp_violation,1.54,0.04,232
firing_rate,1.393,0.04,232
mahalanobis,0.934,0.03,232
silhouette,0.499,0.01,232
__overhead__,0.059,0.0,232
snr,0.022,0.0,232
