n_tetrodes,n_units,key,seconds
16,232,num_spikes,1.9032
16,232,firing_rate,1.686
16,232,presence_ratio,10.8645
16,232,snr,0.0385
16,232,isi_violation,3.29
16,232,rp_violation,2.3592
16,232,sliding_rp_violation,47.516
16,232,synchrony,13.2738
16,232,firing_range,7.8666
16,232,amplitude_cv,46.7157
16,232,amplitude_cutoff,4.4596
16,232,noise_cutoff,5.6743
16,232,amplitude_median,3.209
16,232,drift,15.2443
16,232,sd_ratio,10.6106
16,232,mahalanobis,0.9347
16,232,d_prime,2.8639
16,232,nearest_neighbor,77.009
16,232,silhouette,0.5298
16,232,__prep__,2.108
16,232,__overhead__,0.842
16,232,__total__,258.998
