n_tetrodes,n_units,key,seconds
1,16,num_spikes,0.0583
1,16,firing_rate,0.0569
1,16,presence_ratio,0.343
1,16,snr,0.0016
1,16,isi_violation,0.0917
1,16,rp_violation,0.2643
1,16,sliding_rp_violation,2.5159
1,16,synchrony,0.3183
1,16,firing_range,0.3485
1,16,amplitude_cv,2.9327
1,16,amplitude_cutoff,0.1644
1,16,noise_cutoff,0.2843
1,16,amplitude_median,0.084
1,16,drift,0.7212
1,16,sd_ratio,31.7496
1,16,mahalanobis,0.0606
1,16,d_prime,0.17
1,16,nearest_neighbor,4.7285
1,16,silhouette,0.0298
1,16,__prep__,0.052
1,16,__overhead__,0.086
1,16,__total__,45.061
2,21,num_spikes,0.1018
2,21,firing_rate,0.0763
2,21,presence_ratio,0.3999
2,21,snr,0.002
2,21,isi_violation,0.1114
2,21,rp_violation,0.0948
2,21,sliding_rp_violation,1.8856
2,21,synchrony,0.378
2,21,firing_range,0.4174
2,21,amplitude_cv,2.7406
2,21,amplitude_cutoff,0.2004
2,21,noise_cutoff,0.327
2,21,amplitude_median,0.0983
2,21,drift,0.8593
2,21,sd_ratio,35.8897
2,21,mahalanobis,0.0688
2,21,d_prime,0.1791
2,21,nearest_neighbor,4.9199
2,21,silhouette,0.0326
2,21,__prep__,0.065
2,21,__overhead__,0.081
2,21,__total__,48.93
4,47,num_spikes,0.1902
4,47,firing_rate,0.1865
4,47,presence_ratio,0.9474
4,47,snr,0.0036
4,47,isi_violation,0.2746
4,47,rp_violation,0.2336
4,47,sliding_rp_violation,7.2989
4,47,synchrony,0.9831
4,47,firing_range,1.0183
4,47,amplitude_cv,6.3852
4,47,amplitude_cutoff,0.5611
4,47,noise_cutoff,0.8383
4,47,amplitude_median,0.3148
4,47,drift,2.0188
4,47,sd_ratio,461.8533
4,47,mahalanobis,0.1508
4,47,d_prime,0.3949
4,47,nearest_neighbor,10.8603
4,47,silhouette,0.0714
4,47,__prep__,0.18
4,47,__overhead__,0.074
4,47,__total__,494.839
8,138,num_spikes,0.5381
8,138,firing_rate,0.5451
8,138,presence_ratio,2.6325
8,138,snr,0.0116
8,138,isi_violation,0.7343
8,138,rp_violation,0.6341
8,138,sliding_rp_violation,19.8074
8,138,synchrony,3.0198
8,138,firing_range,2.9694
8,138,amplitude_cv,16.3616
8,138,amplitude_cutoff,1.3742
8,138,noise_cutoff,2.1829
8,138,amplitude_median,0.8786
8,138,drift,5.2219
8,138,sd_ratio,1022.8195
8,138,mahalanobis,0.614
8,138,d_prime,1.6002
8,138,nearest_neighbor,42.6963
8,138,silhouette,0.3188
8,138,__prep__,0.975
8,138,__overhead__,0.045
8,138,__total__,1125.981
16,232,num_spikes,1.7473
16,232,firing_rate,1.3928
16,232,presence_ratio,6.2272
16,232,snr,0.0216
16,232,isi_violation,1.8006
16,232,rp_violation,1.5396
16,232,sliding_rp_violation,44.4912
16,232,synchrony,9.6989
16,232,firing_range,5.9059
16,232,amplitude_cv,36.3434
16,232,amplitude_cutoff,3.2625
16,232,noise_cutoff,5.1821
16,232,amplitude_median,2.2304
16,232,drift,12.5911
16,232,sd_ratio,3347.7026
16,232,mahalanobis,0.9337
16,232,d_prime,2.3737
16,232,nearest_neighbor,61.1434
16,232,silhouette,0.4994
16,232,__prep__,1.757
16,232,__overhead__,0.059
16,232,__total__,3546.903
